corpus,embedding_function,chunk_size,chunk_overlap,retrieve_count,iou,precision,recall
wikitexts,multi-qa-mpnet-base-dot-v1,200,0,9,0.030406830638795544,0.030455290244087593,0.925967498855841
wikitexts,multi-qa-mpnet-base-dot-v1,400,200,1,0.07145752394528387,0.07309077302692359,0.5230427541769719
wikitexts,multi-qa-mpnet-base-dot-v1,400,200,3,0.049647700762101274,0.049848778611796846,0.8111754273520273
wikitexts,multi-qa-mpnet-base-dot-v1,400,200,5,0.03489872754504756,0.034942007364483656,0.8632315384453775
wikitexts,multi-qa-mpnet-base-dot-v1,400,200,7,0.027165015640606926,0.02717451450242951,0.9040563728404797
wikitexts,multi-qa-mpnet-base-dot-v1,400,200,9,0.023419707456719133,0.02342727647459724,0.969537087540445
wikitexts,multi-qa-mpnet-base-dot-v1,400,0,1,0.06233167277994525,0.06370523115633345,0.4782874887767464
wikitexts,multi-qa-mpnet-base-dot-v1,400,0,3,0.03488639131825462,0.035031999153522474,0.7551039585247872
wikitexts,multi-qa-mpnet-base-dot-v1,400,0,5,0.025955957167799637,0.026006010154731515,0.8868159157246385
wikitexts,multi-qa-mpnet-base-dot-v1,400,0,7,0.02031539296704989,0.020328758195727728,0.9602474099362431
wikitexts,multi-qa-mpnet-base-dot-v1,400,0,9,0.016283051354014526,0.016284147759760934,0.9777593644781146
wikitexts,multi-qa-mpnet-base-dot-v1,600,300,1,0.04658716518650268,0.04714415030183591,0.5258713953158131
wikitexts,multi-qa-mpnet-base-dot-v1,600,300,3,0.034264245062526094,0.0343303151449545,0.8153433489279934
wikitexts,multi-qa-mpnet-base-dot-v1,600,300,5,0.02524005556045443,0.025264396310915496,0.9037201208490908
wikitexts,multi-qa-mpnet-base-dot-v1,600,300,7,0.01932009279381867,0.019336294695372985,0.9369384557093748
wikitexts,multi-qa-mpnet-base-dot-v1,600,300,9,0.016471457494609706,0.016477991225593402,0.9649844177632695
wikitexts,multi-qa-mpnet-base-dot-v1,600,0,1,0.037219064792892796,0.03768041463929623,0.42299920976158206
wikitexts,multi-qa-mpnet-base-dot-v1,600,0,3,0.024722103043638304,0.024767866486447368,0.7704540951431351
wikitexts,multi-qa-mpnet-base-dot-v1,600,0,5,0.018344933401282133,0.01835271937022353,0.9167085556943041
wikitexts,multi-qa-mpnet-base-dot-v1,600,0,7,0.013672995905613125,0.013673013633089887,0.9517241379310346
wikitexts,multi-qa-mpnet-base-dot-v1,600,0,9,0.01102143417946019,0.01102143417946019,0.9791666666666666
wikitexts,multi-qa-mpnet-base-dot-v1,800,400,1,0.041525150322417444,0.04189641719109259,0.5750182280277302
wikitexts,multi-qa-mpnet-base-dot-v1,800,400,3,0.026454887055673258,0.02649814428309646,0.8617472497416243
wikitexts,multi-qa-mpnet-base-dot-v1,800,400,5,0.01948838923589867,0.01949954282978492,0.9491289637450259
wikitexts,multi-qa-mpnet-base-dot-v1,800,400,7,0.01533788385852167,0.015343673818249063,0.9807268740288235
wikitexts,multi-qa-mpnet-base-dot-v1,800,400,9,0.01285815196314103,0.01285815196314103,0.9930555555555556
wikitexts,multi-qa-mpnet-base-dot-v1,800,0,1,0.034022819856644154,0.034185641343262886,0.44626366468610823
wikitexts,multi-qa-mpnet-base-dot-v1,800,0,3,0.019097599740942488,0.019108909155186118,0.7661989859125736
wikitexts,multi-qa-mpnet-base-dot-v1,800,0,5,0.013709966679888237,0.01371131835478667,0.9090693983400229
wikitexts,multi-qa-mpnet-base-dot-v1,800,0,7,0.0104434957566173,0.010443627152819693,0.9547581185135586
wikitexts,multi-qa-mpnet-base-dot-v1,800,0,9,0.008483390421013303,0.008483390421013303,0.9930555555555556
wikitexts,multi-qa-mpnet-base-dot-v1,1000,500,1,0.034367616759420384,0.0345408349173739,0.5548835573235329
wikitexts,multi-qa-mpnet-base-dot-v1,1000,500,3,0.02140062386422386,0.021425186529301206,0.8477472033389181
wikitexts,multi-qa-mpnet-base-dot-v1,1000,500,5,0.016466628508798417,0.016471345745286425,0.9649020199093766
wikitexts,multi-qa-mpnet-base-dot-v1,1000,500,7,0.012812769750927175,0.012813092007307106,0.9973254504504505
wikitexts,multi-qa-mpnet-base-dot-v1,1000,500,9,0.010553489773210085,0.010553489773210085,1.0
wikitexts,multi-qa-mpnet-base-dot-v1,1000,0,1,0.02976576959787959,0.02990587816028291,0.49204389392101333
wikitexts,multi-qa-mpnet-base-dot-v1,1000,0,3,0.016385589210704012,0.01639379072959219,0.8188300273750766
wikitexts,multi-qa-mpnet-base-dot-v1,1000,0,5,0.011218361197680144,0.011219173041610504,0.9103962714130246
wikitexts,multi-qa-mpnet-base-dot-v1,1000,0,7,0.008415746035829225,0.00841582401132874,0.9571928223844282
wikitexts,multi-qa-mpnet-base-dot-v1,1000,0,9,0.006653288823179896,0.006653336976431812,0.971081711273317
